TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2021,PHCA,8181,1,21984,Advanced Seminar,Chen,Hua,1,0,0,0,0,0,4
Spring 2021,MATH,8699,21,15222,Doctoral Dissertation,Kalantar,Mehrdad,1,0,0,0,0,0,4
Spring 2021,CIVE,6198,3,16354,Research,Shaffer,Devin,0,0,0,0,0,0,0
Spring 2021,FINA,7383,1,28177,R E MKT Analysis & Valuation,Rando,Scott,20,5,0,0,0,0,3.219
Spring 2021,PSYC,6365,6,24202,Dir Rsch in Dev Cog Beh Neuro,Tamber-Rosenau,Benjamin J,2,0,0,0,0,0,4
Spring 2021,MANA,7334,1,28004,Mgmt Develpmnt & Career Planng,Bozeman,Dennis,12,4,0,0,0,0,3.529
Spring 2021,CHEM,1112,34,18413,Fundamentals of Chm Lab,Zaitsev,Vladimir G,5,7,0,0,0,0,2.412
Spring 2021,ECON,2370,2,16150,Intro to Econ Data Analysis,Melendez Lugo,Joel,8,11,0,0,0,3,1.432
Spring 2021,CIVE,3337,1,14247,Structural Analysis,Herman,Reagan,2,5,0,0,0,0,1.241
Spring 2021,SPAN,3307,1,16089,Public Speaking in Spanish,Quintanilla,Guadalupe C,20,2,0,0,0,1,3.667
Spring 2021,SPAN,3386,2,20007,Spanish Culture Through Film,Solino,Maria Elena,24,7,0,0,0,0,2.746
Spring 2021,INDE,6332,1,16288,Egr Project Mgt,Chung,Christopher,21,16,0,0,0,1,3.1
Spring 2021,BIOL,3306,2,16335,Evolutionary Biology,Frankino,William A,26,38,4,0,0,3,2.34
Spring 2021,COSC,4198,2,25493,Independent Study,Rizk,Nouhad J,0,0,0,0,0,1,0
Spring 2021,MATH,2311,1,19982,Intro To Prob & Statistics,Weber,Thomas Christian,68,48,10,0,0,15,1.876
Spring 2021,HON,2101,39,27995,The Human Situation:Modernity,Rainbow,David,6,2,0,0,0,0,3.668
Spring 2021,ARCH,3501,17,23596,Architecture Design Studio VI,Story,Jon Kevin,3,10,0,0,0,0,2.712
Spring 2021,GENB,7305,3,17924,Commercial Law,Green,John L.,11,0,0,0,0,0,3.584
Spring 2021,ECE,5367,2,22104,Intro To Computer Arch & Dsgn,Baker,Abu M,78,17,0,0,0,0,3.583
Spring 2021,NURS,4318,1,28751,High Acuity Concepts of Care,Schrader PhD,Patricia K,2,8,0,0,0,0,3.2
Spring 2021,MATH,3331,2,15100,Differential Equations,Sanders,Richard,5,2,0,0,0,0,1.04
Spring 2021,GERM,1502,3,14799,Beginning German II,Bandmann,Tanya,4,2,1,0,0,0,2.152
Spring 2021,ENGL,2306,3,28416,Intro To Poetry,Jannise,Justin R,11,0,0,0,0,2,2.569
Spring 2021,HIST,3394,1,28355,Sel Tops-Us History,Mizelle Jr,Richard M.,15,9,0,0,0,1,2.954
Spring 2021,BIOL,1144,17,19735,Hum Anat Physiol Lab II,Gill,Tejendra,13,10,0,0,0,0,3.403
Spring 2021,OPTO,7130,2,15537,"Laser, Refract & Surg Lab",Lambreghts,Kimberly,26,0,0,0,0,0,4
Spring 2021,BIOL,6198,1,17247,Special Problems,Zufall,Rebecca A,0,0,0,0,0,0,0
Spring 2021,CNST,6380,2,19839,Leed & Green Const Princ in CM,Din,Zia Ud,4,0,0,0,0,0,3.918
Spring 2021,ENGL,1303,5,14626,First Year Writing I,Garcia,Sylvia A,6,6,0,0,0,1,2.26
Spring 2021,MUSA,4189,2,29548,Senior Recital,Choi,Estelle,1,0,0,0,0,0,2
Spring 2021,PHYS,1121,5,19894,University Phys Laboratory I,Maric,Sladjana,5,4,0,0,0,6,2.121
Spring 2021,ELET,4305,1,14612,Senior Design in EPET,Shi,Jian,22,2,0,0,0,0,3.848
Spring 2021,ACCT,2302,8,19169,Prin of Managerial Accounting,Newman,Michael Ray,12,0,0,0,0,0,3.973
Spring 2021,BZAN,6310,2,19758,Quant Analysis for Busn Dec,Hou,Jinghui,37,4,0,0,0,0,3.894
Spring 2021,CIS,2334,5,25834,Information Systems Applicatns,Brown,Houghton Gregory,20,9,1,0,0,4,2.364
Spring 2021,MECE,3336,2,19836,Mechanics II,Chen,Yi-Chao,4,4,0,0,0,0,1.203
Spring 2021,BCHS,3304,4,22316,General Biochemistry I,Yeo,Hye-Jeong,54,101,4,0,0,8,2.585
Spring 2021,COMD,4489,1,23758,Clinical Procedures,Cizek,Laura S,14,1,0,0,0,0,3.867
Spring 2021,MUSA,2300,9,22823,Applied Voice,Averyt,Zachary Benjamin,3,0,0,0,0,0,3.89
Spring 2021,KIN,1304,11,28213,Public Hlt Issues in Phys/Obes,Graham,Marilynn Hadassah,74,8,1,0,0,1,3.269
Spring 2021,MUSI,6101,1,21766,Opera Role Performance,Harvey,Raymond Curtis,18,2,0,0,0,0,3.867
Spring 2021,PETR,6308,1,19820,Adv Petro Production Operation,Marongiu Porcu,Matteo,4,4,0,0,0,0,3.258
Spring 2021,PHOP,7399,7,21800,Masters Thesis,Marsack,Jason,1,0,0,0,0,0,4
Spring 2021,ENGL,2361,2,14670,Western World Lit II--Honors,Rainbow,Jesse J.,52,25,1,0,0,2,3.238
Spring 2021,PETR,3321,2,30383,Petr Pressure Trans Testing,Ehlig-Economides,Christine A.,8,0,0,0,0,0,1.863
Spring 2021,SPAN,1501,1,16060,Elementary Spanish I,Gonzalez,Viviannette,10,3,0,0,0,6,2.45
Spring 2021,ARCH,4354,1,19671,Ideas and Buildings,Self,Ronnie L,7,5,0,0,0,2,2.779
Spring 2021,LAW,5408,1,14999,Property,Warren,Gina S,16,42,6,0,0,0,3.208
