TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2014",HLT,6320,1,"Allied Health Education",Esparza,Angelina,,,,,,,
"Summer 2014",MATH,1432,7,"Calculus II",Ahmed-Zaid,Abdelnour,4,1,7,1,0,1,2.692
"Summer 2014",EPSY,6310,1,"Intro To Educ Research",Arbona,Consuelo,,,,,,,
"Summer 2014",GEOL,6397,2,"Selected Topics in Geology",Khan,"Shuhab D.",,,,,,,
"Summer 2014",GEOL,6397,2,"Selected Topics in Geology",Lefer,Barry,,,,,,,
"Summer 2014",ANTH,4394,1,"Selected Topics in Ant",Gordon,"Andrew J",,,,,,,
"Summer 2014",ANTH,4394,1,"Selected Topics in Ant",Hutchinson,"Janice Faye",,,,,,,
"Summer 2014",HIST,3395,1,"Sel Top-European Hist",Zaretsky,"Robert D",,,,,,,
"Summer 2014",PSYC,2380,5,"Intro To Social Psy",Rodriguez,Lindsey,4,2,2,2,0,0,2.767
"Summer 2014",FORE,6397,1,"Selected Topics in Foresight",Bishop,"Peter C",,,,,,,
"Summer 2014",PSYC,2380,4,"Intro To Social Psy",Anderson,"Jill Annette",,,,,,,
"Summer 2014",ELET,3425,1,"Embedded Systems",Moges,"Mequanint A",4,3,5,0,0,0,2.834
"Summer 2014",CHNS,3302,1,"Advanced Chinese Conversation",Wen,"Xiaohong Sharon",4,4,1,0,0,0,3.297
"Summer 2014",SOC,3300,1,"Intro To Sociological Theory",Grigorian,Stella,4,4,2,3,0,2,2.768
"Summer 2014",POLS,1336,3,"US and Texas Const/Politics",Brooks,Stefan,4,4,4,0,2,2,2.406
"Summer 2014",HDCS,3301,1,"Consumer Science",Stewart,"Barbara L",4,4,4,2,3,1,2.158
"Summer 2014",ENGI,2334,1,"Introduction To Thermodynamics",Epling,"William S",4,4,8,1,1,3,2.537
"Summer 2014",CHEM,1112,10,"Fundamentals of Chm Lab",Zaitsev,"Vladimir G",4,5,2,1,2,1,2.595
"Summer 2014",SOC,1300,2,"Introduction To Sociology",Salinas,"Luis L",4,5,7,1,0,1,2.745
"Summer 2014",CUIN,4397,2,"Selected Topics in C&I",Toro,"Stephanie P",4,6,1,0,0,0,3.243
"Summer 2014",GEOL,3355,4,"Field Geology",Weber,John,4,6,5,0,0,0,2.911
"Summer 2014",CHEM,1112,5,"Fundamentals of Chm Lab",Zaitsev,"Vladimir G",4,7,4,1,0,0,2.772
"Summer 2014",CHEE,2332,1,"Chem Engr Thermodyn I",Fleischer,"Miguel T",4,7,12,3,3,9,2.173
"Summer 2014",PSYC,2350,2,"Child Development",Clementi,Michelle,4,8,0,0,0,0,3.278
"Summer 2014",HDCS,3303,1,"Merchandising & Consumer Scien",Rifai,"Rana Ihsan",4,9,3,0,0,1,3.021
"Summer 2014",PHYS,1102,4,"General Physics Laboratory II",Wood,"Lowell T",4,9,6,0,0,1,2.86
"Summer 2014",MECT,4330,1,"Valve Design",Mohrfeld,James,4,9,10,2,0,0,2.574
"Summer 2014",MANA,4347,1,"Ethics and Corp Soc Respon.",Carlin,"Barbara A",4,10,2,0,0,0,3.104
"Summer 2014",PSYC,3325,3,"Psychology of Personality",Coffman,"Amelia D",4,10,7,1,0,0,2.833
"Summer 2014",MATH,3363,1,"Introduction To Pde",Walker,"Philip William",4,10,8,0,2,1,2.583
"Summer 2014",CHEM,1111,1,"Fundamentals of Chm Lab",Zaitsev,"Vladimir G",4,11,1,0,0,1,3.249
