TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Spring 2018",CHEE,8298,5,"Doctoral Research",Palmer,Jeremy,,,,,,,
"Spring 2018",CHEE,8298,6,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2018",CHEE,8298,8,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Spring 2018",CHEE,8298,9,"Doctoral Research",Harold,"Michael P",,,,,,,
"Spring 2018",CHEE,8298,11,"Doctoral Research",Economou,"Demetre J",,,,,,,
"Spring 2018",CHEE,8298,12,"Doctoral Research",Krishnamoorti,Ramanan,,,,,,,
"Spring 2018",CHEE,8298,13,"Doctoral Research",Vekilov,Peter,,,,,,,
"Spring 2018",CHEE,8298,14,"Doctoral Research",Myers,"Michael Tolbert",,,,,,,
"Spring 2018",CHEE,8298,15,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Spring 2018",CHEE,8298,17,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Spring 2018",CHEE,8298,18,"Doctoral Research",Varadarajan,Navin,,,,,,,
"Spring 2018",CHEE,8298,19,"Doctoral Research",Grabow,"Lars C",,,,,,,
"Spring 2018",CHEE,8298,21,"Doctoral Research",Kostarelos,Konstantinos,,,,,,,
"Spring 2018",CHEE,8398,3,"Doctoral Research",Economou,"Demetre J",,,,,,,
"Spring 2018",CHEE,8398,5,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Spring 2018",CHEE,8398,6,"Doctoral Research",Palmer,Jeremy,,,,,,,
"Spring 2018",CHEE,8398,7,"Doctoral Research",Cirino,"Patrick C",,,,,,,
"Spring 2018",CHEE,8398,8,"Doctoral Research",Harold,"Michael P",,,,,,,
"Spring 2018",CHEE,8398,9,"Doctoral Research",Robertson,"Megan L",,,,,,,
"Spring 2018",CHEE,8398,11,"Doctoral Research",Vekilov,Peter,,,,,,,
"Spring 2018",CHEE,8398,12,"Doctoral Research",Varadarajan,Navin,,,,,,,
"Spring 2018",CHEE,8398,14,"Doctoral Research",Balakotaiah,Vemuri,,,,,,,
"Spring 2018",CHEE,8398,15,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Spring 2018",CHEE,8398,16,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Spring 2018",CHEE,8398,18,"Doctoral Research",Grabow,"Lars C",,,,,,,
"Spring 2018",CHEE,8398,19,"Doctoral Research",Orman,Mehmet,,,,,,,
"Spring 2018",CHEE,8398,20,"Doctoral Research",Karim,Alamgir,,,,,,,
"Spring 2018",CHEE,8398,22,"Doctoral Research",Stein,"Gila E",,,,,,,
"Spring 2018",CHEE,8398,24,"Doctoral Research",Krishnamoorti,Ramanan,,,,,,,
"Spring 2018",CHEE,8399,1,"Doctoral Dissertation",Luss,Dan,,,,,,,
"Spring 2018",CHEE,8399,7,"Doctoral Dissertation",Donnelly,"Vincent M.",,,,,,,
"Spring 2018",CHEE,8399,12,"Doctoral Dissertation",Economou,"Demetre J",,,,,,,
"Spring 2018",CHEE,8399,13,"Doctoral Dissertation",Kostarelos,Konstantinos,,,,,,,
"Spring 2018",CHEE,8399,15,"Doctoral Dissertation",Grabow,"Lars C",,,,,,,
"Spring 2018",CHEE,8399,17,"Doctoral Dissertation",Robertson,"Megan L",,,,,,,
"Spring 2018",CHEE,8498,1,"Doctoral Research",Luss,Dan,,,,,,,
"Spring 2018",CHEE,8498,4,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Spring 2018",CHEE,8498,5,"Doctoral Research",Palmer,Jeremy,,,,,,,
"Spring 2018",CHEE,8498,8,"Doctoral Research",Harold,"Michael P",,,,,,,
"Spring 2018",CHEE,8498,9,"Doctoral Research",Karim,Alamgir,,,,,,,
"Spring 2018",CHEE,8498,12,"Doctoral Research",Grabow,"Lars C",,,,,,,
"Spring 2018",CHEE,8498,13,"Doctoral Research",Willson,Richard,,,,,,,
"Spring 2018",CHEE,8498,14,"Doctoral Research",Balakotaiah,Vemuri,,,,,,,
"Spring 2018",CHEE,8498,16,"Doctoral Research",Myers,"Michael Tolbert",,,,,,,
"Spring 2018",CHEE,8498,17,"Doctoral Research",Kostarelos,Konstantinos,,,,,,,
"Spring 2018",CHEE,8498,18,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Spring 2018",CHEE,8498,19,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Spring 2018",CHEE,8498,21,"Doctoral Research",Varadarajan,Navin,,,,,,,
"Spring 2018",CHEE,8498,22,"Doctoral Research",Qin,Guan,,,,,,,
"Spring 2018",CHEE,8498,7,"Doctoral Research",Robertson,"Megan L",,,,,,,
"Spring 2018",CHEE,8598,5,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Spring 2018",CHEE,8598,9,"Doctoral Research",Karim,Alamgir,,,,,,,
"Spring 2018",CHEE,8598,10,"Doctoral Research",Cirino,"Patrick C",,,,,,,
"Spring 2018",CHEE,8598,12,"Doctoral Research",Grabow,"Lars C",,,,,,,
"Spring 2018",CHEE,8598,14,"Doctoral Research",Balakotaiah,Vemuri,,,,,,,
"Spring 2018",CHEE,8598,17,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Spring 2018",CHEE,8598,18,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Spring 2018",CHEE,8598,21,"Doctoral Research",Robertson,"Megan L",,,,,,,
"Spring 2018",CHEM,3131,2,"Problem Solving in Org Chem I",Lee,"T Randall",,,,,,,
"Spring 2018",CHEM,3132,1,"Problem Solving in Org Chem II",Lee,"T Randall",,,,,,,
"Spring 2018",CHEM,3132,5,"Problem Solving in Org Chem II",Lee,"T Randall",,,,,,,
"Spring 2018",CHEM,6111,1,"Graduate Colloquium",Wu,Judy,,,,,,,
"Spring 2018",CHEM,6112,1,"Graduate Seminar",Teets,Thomas,,,,,,,
"Spring 2018",CHEM,6112,2,"Graduate Seminar",Lubchenko,Vassiliy,,,,,,,
