TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2020,CHEE,8298,14,Doctoral Research,Yao,Yan,0,0,0,0,0,1,0,0,0
Summer 2020,CIVE,8399,5,Doctoral Dissertation,Hu,Yandi,0,0,0,0,0,0,0,0,0
Summer 2020,CHEM,8698,19,Doctoral Research,Xu,Shoujun,0,0,0,0,0,1,0,0,0
Summer 2020,COMM,6398,9,Special Problems,Xiao,Zhiwen,1,0,0,0,0,0,0,0,4
Summer 2020,KIN,4398,2,Independent Study,Cottingham,Michael,4,0,0,0,0,0,0,0,4
Summer 2020,CHEM,6698,2,Special Problems,Bittner,Eric R,0,0,0,0,0,1,0,0,0
Summer 2020,PHYS,8698,27,Doctoral Research,Ratti,Claudia,0,0,0,0,0,3,0,0,0
Summer 2020,ECON,8399,1,Doctoral Dissertation,Yi,Kei-Mu,0,0,0,0,0,0,0,0,0
Summer 2020,COSC,8399,112,Doctoral Dissertation,Huang,Shou-Hsuan Stephen,0,0,0,0,0,0,0,0,0
Summer 2020,LAW,5603,1,Govt Nonprofit Extshp II,Hancock,Amy Sladczyk,0,0,0,0,0,1,0,0,0
Summer 2020,BIOE,8399,6,Doctoral Dissertation,Gifford,Howard,0,0,0,0,0,0,0,0,0
Summer 2020,PSYC,6352,4,Directed Rsch in I/O Psyc,Eisenberger,Robert W,2,0,0,0,0,0,0,0,4
Summer 2020,MATH,8398,30,Doctoral Research,Labate,Demetrio,0,0,0,0,0,3,0,0,0
Summer 2020,INDE,8598,7,Doctoral Research,Lin PhD,Ying,0,0,0,0,0,1,0,0,0
Summer 2020,CIS,6396,1,Internship in Infor. Security,Conklin,William A,1,0,0,0,0,0,0,0,4
Summer 2020,POLS,8699,1,Doctoral Dissertation,Tiede,Lydia B,0,0,0,0,0,0,0,0,0
Summer 2020,MECE,8598,24,Doctoral Research,Sun,Li,0,0,0,0,0,1,0,0,0
Summer 2020,ECE,6298,25,Research,Chen,Ji,0,0,0,0,0,1,0,0,0
Summer 2020,PHOP,6167,3,Research Practicum A,Twa,Michael D,1,0,0,0,0,0,0,0,4
Summer 2020,COSC,8698,110,Doctoral Research,Gurkan,Deniz,0,0,0,0,0,1,0,0,0
Summer 2020,PHAR,5690,2,Internal Medicine,Sherer,Jeffrey T,3,1,0,0,0,0,0,0,3.75
Summer 2020,PHYS,1102,1,General Physics Laboratory II,Maric,Sladjana,7,10,3,0,0,9,0,0,2.196
Summer 2020,HRMA,4397,1,Selected Topics Hosp Mgt,Legendre,Jungyoung Shin,27,4,0,0,0,1,0,0,3.657
Summer 2020,BIOL,1162,1,Intro To Biol Science Lab 2,Hanke,Marc H,12,3,0,0,0,2,0,1,2.576
Summer 2020,ECON,8699,6,Doctoral Dissertation,Yi,Kei-Mu,0,0,0,0,0,0,0,0,0
