TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Spring 2022,PSYC,7392,2,15296,Psychology Practicum,Tamber-Rosenau,Benjamin J,1,0,0,0,0,0,0,0,0,4
Spring 2022,ECE,8498,22,15829,Doctoral Research,Rajashekara,Kaushik,0,0,0,0,0,2,0,0,0,0
Spring 2022,PHCA,8298,1,20425,Doctoral Dissertation Research,Johnson,Michael L,4,0,0,0,0,0,0,0,0,4
Spring 2022,BIOE,8699,8,17682,Doctoral Dissertation,Ince,Nuri Firat,1,0,0,0,0,0,0,0,0,4
Spring 2022,PCOL,8399,3,27143,Doctoral Dissertation,Hussain,Tahir,0,0,0,0,0,1,0,0,0,0
Spring 2022,SPAN,8399,6,15371,Dissertation,Solino,Maria Elena,0,0,0,0,0,1,0,0,0,0
Spring 2022,ECE,8298,39,15777,Doctoral Research,Shireen,Wajiha,0,0,0,0,0,2,0,0,0,0
Spring 2022,MUSA,3402,1,20558,Applied Composition,Smith,Robert Thomas,2,1,0,0,0,0,0,0,0,3.557
Spring 2022,ACCT,5331,3,26997,Federal Income Tax-Individual,Fernandez,Ramon,0,2,0,0,0,0,0,0,0,3
Spring 2022,PHOP,8798,1,26589,Doctoral Research,Coulson-Thomas,Vivien J,1,0,0,0,0,0,0,0,0,4
Spring 2022,ARTH,7399,3,20395,Master's Thesis,Zalman,Sandra,1,0,0,0,0,0,0,0,0,4
Spring 2022,ENGL,8698,11,27142,Graduate Research,Ehlers,Sarah E,0,0,0,0,0,1,0,0,0,0
Spring 2022,PSYC,6598,6,26774,Special Problems,Eisenberger,Robert W,0,0,0,0,0,1,0,0,0,0
Spring 2022,POLC,4397,2,25377,Selected Topics Public Policy,Gary,Brant Michael,0,0,1,0,0,0,0,0,0,2
Spring 2022,ECE,6398,18,15685,Research,Mayerich,David Matthew,0,0,0,0,0,1,0,0,0,0
Spring 2022,COMM,6398,2,19656,Special Problems,Madrid-Morales,Daniel,1,0,0,0,0,0,0,0,0,4
Spring 2022,MATH,4378,1,14863,Advanced Linear Algebra II,Mamonov,Alexander V,1,2,4,1,3,0,0,0,1,1.727
Spring 2022,SCM,3301,2,15571,SCM Fundamentals,Miller,Bradley D,269,222,44,7,2,0,0,0,5,3.359
Spring 2022,ECON,3320,1,19097,Intro to Econ Data Analysis,Melendez Lugo,Joel,22,12,9,1,2,0,0,0,5,3.087
Spring 2022,BIOL,1307,2,14070,Biology for Science Majors II,Cheek,Ann Oliver,140,73,36,17,7,0,0,0,10,3.219
Spring 2022,MANA,4347,1,18642,Ethics and Corp Soc Respon.,Salaiz,Ashley,29,14,6,1,0,0,0,0,0,3.473
Spring 2022,CIS,3365,4,19295,Database Management,Amirpanahi,Fardosht,3,12,15,4,2,0,0,0,0,2.278
Spring 2022,DIGM,4378,30,21045,Senior Project,Lehnen,Aaron,5,8,3,1,0,0,0,0,0,2.922
Spring 2022,COSC,1336,2,17787,Computer Science & Program,Hilford,Victoria,24,29,17,2,7,0,0,0,20,2.73
Spring 2022,HON,2101,1,14662,The Human Situation:Modernity,Morrison,Iain P D,133,75,4,2,2,0,0,0,10,3.545
Spring 2022,ARCH,2501,13,18533,Architecture Design Studio IV,Barden,Kevin,5,10,3,1,0,0,0,0,0,2.965
Spring 2022,CHEM,1111,18,16895,Fundamentals of Chm Lab,Zaitsev,Vladimir G,2,11,2,0,0,0,0,0,3,2.978
Spring 2022,DIGM,3252,30,20821,Graphic Communication Output,Dawson,Michael John,5,23,9,0,1,0,0,0,0,2.755
Spring 2022,PHYS,2125,6,17198,University Physics Lab I,Wood,Lowell T,1,15,6,0,0,0,0,0,1,2.698
Spring 2022,PSYC,3341,7,25940,Physiological Psychology,Lipschutz,Rebecca Sara,51,24,2,1,1,0,0,0,0,3.532
Spring 2022,ARTS,2326,4,24074,Fundamentals of Sculpture,Conrad,Jillian,7,3,0,0,0,0,0,0,1,3.601
Spring 2022,COMD,2338,3,27103,Phonetics,Schaff,Carrie Allyson,17,6,4,1,0,0,0,0,2,3.358
Spring 2022,MARK,4332,1,17777,Social Media Marketing,Zahn,William J,15,23,4,0,0,0,0,0,1,3.262
Spring 2022,KIN,1352,19,22600,"Foundations of KIN, HLT, FIT",Gray,Jon Phillip,38,7,3,0,1,0,0,0,0,3.633
Spring 2022,HLT,4310,3,22049,Program Planning for Health,Markowitz,Eliz,20,14,2,0,0,0,0,0,3,3.436
Spring 2022,CHEE,8399,9,14111,Doctoral Dissertation,Karim,Alamgir,10,0,0,0,0,0,0,0,0,4
Spring 2022,CHEM,1112,11,14139,Fundamentals of Chm Lab,Zaitsev,Vladimir G,3,8,2,1,1,0,0,0,4,2.689
Spring 2022,SPAN,2311,3,15340,Intermediate Spanish I,Said White,Erika,10,6,8,3,0,0,0,0,3,2.962
Spring 2022,CHEM,2125,8,14172,Organic Chemistry Lab II,Bean,Mary B,6,8,4,2,1,0,0,0,0,2.699
