TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",CHEE,8298,4,"Doctoral Research",Stein,"Gila E",,,,,,,
"Summer 2016",CHEE,8298,5,"Doctoral Research",Nikolaou,Michael,,,,,,,
"Summer 2016",CHEE,8298,6,"Doctoral Research",Balakotaiah,Vemuri,,,,,,,
"Summer 2016",CHEE,8298,7,"Doctoral Research",Krishnamoorti,Ramanan,,,,,,,
"Summer 2016",CHEE,8298,8,"Doctoral Research",Harold,"Michael P",,,,,,,
"Summer 2016",CHEE,8298,9,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2016",CHEE,8298,10,"Doctoral Research",Vekilov,Peter,,,,,,,
"Summer 2016",CHEE,8298,11,"Doctoral Research",Varadarajan,Navin,,,,,,,
"Summer 2016",CHEE,8298,12,"Doctoral Research",Palmer,Jeremy,,,,,,,
"Summer 2016",CHEE,8298,13,"Doctoral Research",Cirino,"Patrick C",,,,,,,
"Summer 2016",CHEE,8298,14,"Doctoral Research",Qin,Guan,,,,,,,
"Summer 2016",CHEE,8298,15,"Doctoral Research",Robertson,"Megan L",,,,,,,
"Summer 2016",CHEE,8298,16,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Summer 2016",CHEE,8298,17,"Doctoral Research",Grabow,"Lars C",,,,,,,
"Summer 2016",CHEE,8298,18,"Doctoral Research",Epling,"William S",,,,,,,
"Summer 2016",CHEE,8298,20,"Doctoral Research",Kostarelos,Konstantinos,,,,,,,
"Summer 2016",CHEE,8298,21,"Doctoral Research",Economou,"Demetre J",,,,,,,
"Summer 2016",CHEE,8398,1,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Summer 2016",CHEE,8398,4,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Summer 2016",CHEE,8398,8,"Doctoral Research",Nikolaou,Michael,,,,,,,
"Summer 2016",CHEE,8398,12,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
"Summer 2016",CHEE,8498,1,"Doctoral Research",Harold,"Michael P",,,,,,,
"Summer 2016",CHEE,8498,2,"Doctoral Research",Willson,Richard,,,,,,,
"Summer 2016",CHEE,8498,4,"Doctoral Research",Donnelly,"Vincent M.",,,,,,,
