TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2021,CUIN,8398,1,15456,Independent Study,McNeil,Sara G,1,0,0,0,0,0,0,0,0,4
Summer 2021,PHOP,8598,4,16068,Doctoral Research,Coates,Daniel R,2,0,0,0,0,0,0,0,0,4
Summer 2021,KIN,4340,1,13178,Sport Governance,Walsh,David W,18,9,3,1,0,0,0,0,0,3.355
Summer 2021,MARK,3337,1,11608,Professional Selling,Tueffert,Curt F,25,1,0,0,1,0,0,0,1,3.79
Summer 2021,PSYC,6359,2,16078,Directed Rsch in Clinical Psyc,Walker,Rheeda L,1,0,0,0,0,0,0,0,0,4
Summer 2021,ITEC,1301,1,14933,Intro To Computer Appl Tech,Miertschin,Susan L,14,7,3,0,3,0,0,0,1,3.074
Summer 2021,COMM,4398,2,19730,Independent Study,Fix,Julie B,1,0,0,0,0,0,0,0,0,3.67
Summer 2021,ELCS,8397,1,18644,Sem Top Ed Ldshp&Cul St,Hawkins,Jacqueline McLean,8,0,1,0,0,0,0,0,0,3.778
Summer 2021,PHAR,5662,1,12956,Academic Scholarship,Surati,Dhara Divyang,2,0,0,0,0,0,0,0,0,4
Summer 2021,TLIM,3340,1,15693,Org Leadership & Supervision,Lattier,Gregory Jeff,24,3,8,1,4,0,0,0,5,3.05
Summer 2021,ATP,7301,1,14012,"Head, Neck & Spine Evaluation",Harrison,Layci,4,5,0,0,0,0,0,0,0,3.444
Summer 2021,GEOL,1340,1,12939,Earth Systems,Lytwyn,Jennifer N,21,18,10,4,6,0,0,0,1,2.701
Summer 2021,BIOL,6398,17,19201,Special Problems,Khurana,Seema,0,0,0,0,0,2,0,0,0,0
Summer 2021,COSC,4377,201,15870,Intro To Computer Networks,Long,Kevin B,41,36,10,0,2,0,0,0,5,3.281
Summer 2021,TLIM,3363,31,15705,Technical Communications,Peterson,Kathryn Marie,19,1,1,1,1,0,0,0,0,3.565
Summer 2021,BIOL,6398,11,19195,Special Problems,Dryer,Stuart E,0,0,0,0,0,3,0,0,0,0
Summer 2021,CIVE,7399,4,19722,Master's Thesis,Louie,Stacey M,1,0,0,0,0,0,0,0,0,3.67
Summer 2021,ENGL,1304,4,13539,First Year Writing II,Burns,William,10,6,3,0,4,0,0,0,1,2.74
Summer 2021,NURS,6314,1,18789,Development of Nur Curriculum,Dwyer,Carol Ann,6,0,0,0,0,0,0,0,0,4
Summer 2021,PHYS,8398,25,10855,Doctoral Research,Pinsky,Lawrence S,0,0,0,0,0,1,0,0,0,0
Summer 2021,PSYC,3341,2,14178,Physiological Psychology,Halverson,Kelly K,23,8,0,0,0,0,0,0,0,3.689
Summer 2021,MATH,2131,1,14640,Linear Alg Labs w/MATLAB,Duvall,Jason R.,11,0,0,0,5,0,0,0,2,2.75
Summer 2021,ECON,2305,3,18678,Macroeconomic Principles,Oni,Mehedi Hasan,7,7,10,5,6,0,0,0,2,2.048
Summer 2021,PHYS,1102,7,16089,General Physics Laboratory II,Wood,Lowell T,2,9,11,0,0,0,0,0,1,2.636
Summer 2021,CHEM,8398,21,14248,Doctoral Research,Chen,Tai-Yen,0,0,0,0,0,3,0,0,0,0
Summer 2021,PHOP,6257,5,15368,Research Practicum B,Coulson-Thomas,Vivien J,1,0,0,0,0,0,0,0,0,4
Summer 2021,MANA,7375,1,14161,Global Leadership,Vera,Dusya M,30,0,0,0,0,0,0,0,0,4
Summer 2021,PSYC,8399,13,14307,Doctoral Dissertation,Kosten,Therese A,0,0,0,0,0,1,0,0,0,0
Summer 2021,COMM,1302,1,15295,Intro To Comm Theory,Lee,Jaesub,10,7,7,0,1,0,0,0,3,2.894
Summer 2021,BIOL,8399,19,19662,Doctoral Dissertation,Kelleher Meisel,Erin S,0,0,0,0,0,1,0,0,0,0
Summer 2021,HON,3397,1,18604,Honors Selected Topics,Monroe,William F,4,0,0,0,0,0,0,0,0,4
Summer 2021,ENGL,1304,7,14939,First Year Writing II,Swensen,Russel,3,2,1,2,3,0,0,0,1,1.91
Summer 2021,ECE,6398,2,12143,Research,Faghih,Rose T,0,0,0,0,0,1,0,0,0,0
Summer 2021,PSYC,6392,2,19855,Intervention Practicum,Harris,Gerald E,0,0,0,0,0,2,0,0,0,0
Summer 2021,PSYC,8399,6,14249,Doctoral Dissertation,Neighbors,Clayton T,1,0,0,0,0,0,0,0,0,4
Summer 2021,CHEM,1111,9,13532,Fundamentals of Chm Lab,Zaitsev,Vladimir G,6,6,1,0,5,0,0,0,0,2.408
Summer 2021,PSYC,3301,2,14510,Intro Psych Stats,Weinstein,Andrew Philip,19,19,7,6,5,0,0,0,1,2.756
Summer 2021,TLIM,4342,30,15712,Quality Improvement Methods,Chance,Michael Dean,27,8,3,1,1,0,0,0,1,3.417
Summer 2021,FORE,6395,1,13801,Master's Project in Foresight,Hines,Andrew Lewis,0,1,0,0,0,0,0,0,0,3
Summer 2021,MATH,8398,8,15442,Doctoral Research,Nicol,Matthew J.,0,0,0,0,0,1,0,0,0,0
Summer 2021,MATH,1432,3,11494,Calculus II,Weber,Thomas Christian,9,11,18,8,29,0,0,0,9,1.551
Summer 2021,BIOE,5319,1,15916,Intro to Global Healthcare,Akay PhD,Metin,11,0,0,0,0,0,0,0,0,3.85
Summer 2021,ACCT,5377,1,19151,Govt & Non-Profit Accounting,Bailey-Rihawi,Esther Elizabeth,8,4,0,0,0,0,0,0,0,3.612
Summer 2021,PSYC,4321,1,14595,Abnormal Psychology,Orr,Michael F,35,7,9,2,4,0,0,0,3,3.21
Summer 2021,SOCW,7356,1,13312,Groups in Clinical Settings,Helms,Kristen,30,0,0,0,0,0,0,0,0,3.978
Summer 2021,HDCS,2301,1,12984,Consumer Science,Stewart,Juliana Floriene,10,9,2,2,0,0,0,0,0,3.088
Summer 2021,ACCT,5335,1,11650,Financial Statement Auditing,Kuruvilla,Mohan,4,3,0,1,1,0,0,0,0,2.962
Summer 2021,MECE,6398,1,12612,Research,Franchek,Matthew,0,0,0,0,0,2,0,0,0,0
Summer 2021,HLT,3301,1,11024,Health Behavior Theories,Bennett,Kristin C,51,5,8,2,0,0,0,0,2,3.601
Summer 2021,NUTR,6311,1,15322,Capstone I,Haubrick,Kevin,3,0,0,0,0,0,0,0,0,3.78
Summer 2021,PHAR,5681,2,14002,Infectious Diseases,Ordonez,Nancy D,4,1,1,0,0,0,0,0,0,3.5
Summer 2021,MARK,3337,2,16411,Professional Selling,Tueffert,Curt F,28,0,0,0,1,0,0,0,1,3.782
