TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Fall 2020,ART,1360,3,Fundamentals of Sculpture,Zambrano,Erick,11,0,0,0,0,1,0,0,3.639
Fall 2020,BIOE,4303,1,Biomaterials,Abidian,Mohammad Reza,16,4,0,0,0,3,0,0,3.233
Fall 2020,EDUC,4511,4,Student Teaching - Elementary,Culpepper,Shea Mosley,29,1,0,0,0,0,0,0,3.956
Fall 2020,PETR,8598,12,Doctoral Research,Sakhaee Pour,Ahmad,0,0,0,0,0,3,0,0,0
Fall 2020,HDCS,1300,1,Human Ecosystems & Tech Change,Selzer,Lori Michele,10,43,5,0,0,9,0,0,2.637
Fall 2020,POLS,3369,1,The Presidency,Rottinghaus,Brandon J,11,16,5,0,0,6,0,0,2.281
Fall 2020,CNST,4315,1,Steel Construction,Chang,Chi Chung,12,20,2,0,0,3,0,0,2.913
Fall 2020,KIN,1352,8,"Foundations of KIN, HLT, FIT",Gray,Jon Phillip,38,3,1,0,0,4,0,2,3.44
Fall 2020,FINA,   7A20,1,Capital Markets,Wu,Guojun,25,0,0,0,0,0,0,0,3.974
Fall 2020,PSYC,2344,7,Cultural Psychology,Wang,Carol,18,10,1,0,0,6,0,1,2.726
Fall 2020,PSYC,3301,15,Intro Psych Stats,Samaniego,Charissa Alexandra,19,10,1,0,0,10,0,0,2.532
Fall 2020,NUTR,4347,1,Med Nutritn Therapy-Metabolic,Ferrell,Carla Denise,16,16,3,0,0,8,0,0,2.476
Fall 2020,SOCW,7304,3,Brief Targeted Interventions,Grimes,Christopher,23,1,0,0,1,0,0,1,3.734
Fall 2020,HRMA,2356,1,Comm Strategies for Hospitalty,Pede,Michael Lawrence,54,3,1,0,0,2,0,0,3.656
Fall 2020,MUED,2342,2,Music for Children,Langley,Anna C,13,3,0,0,0,0,0,3,3.193
Fall 2020,GEOL,3378,1,Principles of Atmospheric Sci.,Jiang,Xun,17,2,0,0,0,1,0,0,3.618
Fall 2020,PHYS,1102,15,General Physics Laboratory II,Maric,Sladjana,4,8,4,0,0,5,0,2,2.137
Fall 2020,TEPM,6302,1,Leadership and Team Building,Hopkins,Ronald K.,10,2,0,0,0,0,0,0,3.723
Fall 2020,FINA,4330,4,Corporate Finance,Roshak,Kevin T,17,25,1,0,0,12,0,0,2.521
Fall 2020,BIOL,1161,23,Intro To Biol Science Lab 1,Medrano,Ana I,9,10,0,0,0,5,0,0,2.736
Fall 2020,COMM,1303,1,Writing for Communicators,Lyn,Robyn,74,8,1,0,0,9,0,0,3.22
Fall 2020,MIS,7375,1,Transaction Processing Syst I,Parks,Michael Sydney,3,6,0,0,0,0,0,0,3.333
Fall 2020,ENGL,7325,1,The British Empire,Lecourt,Sebastian Joseph,10,0,0,0,0,0,0,0,4
Fall 2020,ARTH,3394,3,Sel Tops in Art History,Koontz,Rex A,4,1,0,0,0,0,0,0,3.668
Fall 2020,ENGI,4397,1,Engr Ldrshp&Entrepreneurism I,Ardebili,Haleh,2,0,0,0,0,0,0,1,4
Fall 2020,ELCS,8395,5,Doctoral Thesis,Klussmann,Duncan Foster,0,0,0,0,0,8,0,1,0
Fall 2020,ARCH,3500,17,Architecture Design Studio V,Martinez,Marcus E,8,8,0,0,0,0,0,0,3.5
Fall 2020,PHAR,5335,3,Integrated Neurology Module,Tejada-Simon,Maria Victoria,1,5,2,0,0,0,0,0,2.875
Fall 2020,ART,4331,2,Senior Graphic Design Major I,Unikel,Joshua,12,0,0,0,0,0,0,0,4
Fall 2020,MANA,4358,2,Compensation and Benefits,Martocchio,Joseph John,5,2,0,0,0,1,0,1,3.291
Fall 2020,LAW,5405,1,Immigration Clinic,Vega,Rosemary,3,4,1,0,0,0,0,0,3.209
Fall 2020,BCHS,8399,22,Doctoral Dissertation,Gao,Xiaolian,0,0,0,0,0,0,1,0,0
Fall 2020,SOCW,7391,1,Field Practicum Elective,Parker,Jamie Lynne,0,0,0,0,0,4,0,0,0
Fall 2020,CIVE,8699,2,Doctoral Dissertation,Belarbi,Abdeldjelil,0,0,0,0,0,0,0,0,0
Fall 2020,THEA,6301,1,Acting,Young,John M,0,1,0,0,0,0,0,0,2.67
Fall 2020,LAW,5298,1,Special Rsch & Writing,Vetter,Greg R,2,0,0,0,0,0,0,0,3.835
Fall 2020,HLT,2310,3,Emrgency Care&First Aid,Monreal,Daniel Joseph,1,2,0,0,0,0,0,0,3.333
Fall 2020,ECE,6398,38,Research,Faghih,Rose T,0,0,0,0,0,1,0,0,0
Fall 2020,CNST,6350,1,Decision Making and Risk Mgmt,Gao,Lu,4,0,0,0,0,0,0,0,4
Fall 2020,SUBS,6330,1,Pipeline Design,Ozturk,Burak,7,1,0,0,0,0,0,0,3.793
Fall 2020,ENGL,1303,146,First Year Writing I,Lipke,Amy P,2,0,0,0,0,1,0,0,1.049
Fall 2020,PHYS,8998,18,Doctoral Research,Koerner,Lisa Whitehead,0,0,0,0,0,1,0,0,0
Fall 2020,ENGL,8399,4,Doctoral Dissertation,Tejada,Roberto Jose,2,0,0,0,0,0,0,0,4
